"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-27","7.38",",,W","0.00",",,W,2400","0.0",",,W","41","H,,S","54",",,W","27",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-28","13.65",",,W","0.65",",,W,2400","0.0",",,W","51","H,,S","60",",,W","47",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-01","14.09",",,W","0.12",",,W,2400","0.0","T,,W","47","H,,S","54",",,W","32",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-02","10.96",",,W","0.00","T,,W,2400","0.0","T,,W","32","H,,S","35",",,W","27",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-03","10.29",",,W","0.00",",,W,2400","0.0",",,W","27","H,,S","33",",,W","21",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-04","14.54",",,W","0.01",",,W,2400","0.1",",,W","33","H,,S","42",",,W","28",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-05","14.54",",,W","0.00",",,W,2400","0.0",",,W","41","H,,S","60",",,W","32",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-06","21.03",",,W","0.00","T,,W,2400","0.0",",,W","55","H,,S","65",",,W","52",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-07","19.24",",,W","0.24",",,W,2400","0.0",",,W","55","H,,S","65",",,W","44",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-08","22.15",",,W","0.00",",,W,2400","0.0",",,W","46","H,,S","53",",,W","40",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-09","6.93",",,W","0.00",",,W,2400","0.0",",,W","39","H,,S","42",",,W","29",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-10","14.54",",,W","0.00",",,W,2400","0.0",",,W","32","H,,S","36",",,W","23",",,W"
